code,Name,News_size,Market_cap,Shares_outstanding,P,N,None,Negtive,Slightly Negtive,Neutral,Slightly Positive,Positive
2436,Weltrend,119,"14,436.53","178,009,961",56,54,1166,98,9,,4,8
6111,SOFTSTAR,118,"4,256.59","63,064,318",55,49,1172,97,9,1,7,4
2748,FDC,117,"3,189.11","75,482,550",89,16,1170,52,35,2,14,14
4551,GLOBAL PMX,117,"20,279.07","115,222,498",79,25,1171,68,30,1,10,8
5269,Asmedia,114,"112,482.50","69,220,641",65,39,1172,102,3,1,3,5
1309,TTC,113,"13,101.43","378,654,141",44,66,1166,81,23,1,2,6
2316,WUS,113,"5,189.82","182,740,536",47,59,1170,95,13,1,1,3
9910,FT,113,"190,443.10","881,681,099",84,22,1170,85,11,5,6,6
2845,FEIB,112,"36,720.91","3,513,963,236",67,44,1165,62,28,1,13,8
6150,Tul,112,"6,732.24","44,881,629",63,43,1170,91,3,1,7,10
8043,3H,111,"2,125.53","79,907,170",44,67,1165,68,33,2,7,1
2393,EVERLIGHT,111,"21,947.95","443,393,086",64,34,1178,94,5,,4,8
2637,WISDOM,110,"48,740.51","746,409,199",68,30,1178,61,18,1,9,21
3293,IGS,109,"50,301.58","70,450,390",78,16,1182,99,3,1,2,4
4174,OBI,109,"21,223.25","199,279,374",52,43,1181,84,10,2,5,8
3090,NDB,108,"9,004.31","178,657,150",30,77,1169,91,13,,3,1
3680,Gudeng,108,"20,350.52","84,092,233",77,20,1179,103,3,,1,1
5264,-,108,-,-,0,0,0,94,3,,3,8
1815,FFG,107,"7,498.02","418,451,404",62,25,1189,98,3,1,2,3
2013,CSSC,107,"11,100","200,000,000",37,58,1181,89,10,3,2,3
6196,MIC,106,"21,824.88","187,388,200",68,23,1185,96,5,,1,4
6533,ANDES,106,"25,527.60","50,650,911",56,42,1177,82,12,,7,5
6239,PTI,106,"75,888.82","779,146,634",70,29,1177,93,4,,2,7
1102,ACC,106,"152,660.33","3,446,057,251",67,30,1179,89,8,1,4,4
6005,CSC,105,"32,889.26","2,170,908,097",65,35,1176,73,19,1,4,8
3698,-,105,-,-,0,0,0,89,9,1,2,4
3017,AVC,105,"29,289.40","353,310,157",58,39,1179,92,3,,3,7
6552,JMC,104,"4,863.80","83,000,000",54,49,1172,72,17,,6,9
6416,CASWELL,104,"6,747.93","73,188,875",65,28,1183,97,5,,1,1
2208,CSBC,103,"20,309.77","931,641,842",78,15,1183,64,15,2,13,9
6182,WAFER WORK,103,"34,725.68","540,898,436",62,33,1181,95,3,,2,3
3413,Fiti,102,"17,933.01","87,800,826",70,20,1186,94,2,,4,2
6462,EGIS,101,"9,377.79","70,775,754",71,21,1184,85,8,,3,5
3023,SINBON,101,"53,661.76","233,312,928",78,13,1185,83,2,,8,8
3691,GIGASOLAR,100,"15,366.39","75,883,420",58,32,1186,92,3,,1,4
6176,ROEC,99,"45,247.13","465,027,263",53,33,1190,89,6,,1,3
2606,U-MING,99,"44,449.89","845,055,712",63,23,1190,55,12,2,9,21
4968,Richwave,99,"25,478.78","88,468,906",70,25,1181,86,4,1,3,5
9904,PCC,99,"100,485.44","2,946,787,213",58,34,1184,76,11,1,6,5
2855,PSC,98,"32,974.57","1,455,831,343",53,38,1185,61,23,,9,5
6415,Silergy,98,"428,610.14","93,849,425",56,33,1187,87,5,2,1,3
6274,TUC,98,"25,663.81","268,102,449",54,21,1201,92,5,,,1
5871,Chailease,98,"385,804.80","1,450,394,432",89,4,1183,69,15,1,4,9
2484,SIWARD,98,"5,348.57","159,421,022",59,19,1198,91,2,,3,2
3227,PXI,98,"22,411.90","142,191,726",71,13,1192,89,4,,3,2
3338,TAISOL,97,"3,532.66","87,877,141",66,17,1193,72,9,2,5,9
6438,SAA,97,"6,417.44","67,539,943",68,12,1196,90,2,,4,1
8105,GiantPlus,97,"5,188.14","441,544,851",55,34,1187,78,12,2,1,4
2705,LEOFOO,97,"3,366.97","191,312,830",67,21,1188,38,24,3,14,18
5388,SERCOMM,97,"16,038.00","251,774,767",71,20,1185,84,5,,4,4
3380,Alpha,97,"11,926.39","541,718,460",68,21,1187,79,6,,7,5
1312,GPPC,97,"24,478.74","906,620,328",51,34,1191,84,8,,3,2
1762,CCSB,95,"5,056.91","77,560,000",26,64,1186,81,9,,2,3
4147,TMB,95,"16,854.17","252,304,000",64,25,1187,78,5,1,3,8
2006,TUNG HO,95,"44,030.79","730,213,818",35,55,1186,69,13,1,2,10
2392,FOXLINK,93,"19,775.78","512,326,940",66,21,1189,85,5,1,,2
6202,HOLTEK,93,"23,295.30","226,168,200",63,23,1190,85,3,,2,3
3036,WT,93,"49,887.75","794,391,909",56,25,1195,86,,1,3,3
3081,LandMark,92,"16,309.40","91,369,177",48,34,1193,78,3,,7,4
3003,KST,92,"15,082.87","155,654,890",46,43,1187,87,1,,2,2
2841,TLDC,92,"2,587.21","760,943,600",69,9,1198,74,6,,5,7
1513,CHEM,92,"19,592.91","476,134,310",45,41,1190,83,5,,2,2
4105,TTY,91,"17,057.39","248,649,959",52,29,1195,87,1,1,1,1
5306,KMC,91,"25,452","126,000,000",64,16,1196,62,11,4,6,8
2849,EnTie Bank,91,"25,103.54","1,957,910,050",47,41,1188,58,13,3,4,13
6166,ADLINK,90,"14,615.80","217,497,257",69,12,1195,78,5,,4,3
2548,HUAKU,90,"25,189.89","276,812,726",70,14,1192,67,12,,6,5
2726,Yummy Town,90,"1,263.08","36,505,216",66,6,1203,46,20,,11,13
8358,CO-TECH,90,"18,868.32","252,588,000",50,21,1205,80,5,1,2,2
2478,TA-I,90,"9,190.80","144,737,639",37,47,1192,79,8,,2,1
