code,Name,News_size,Market_cap,Shares_outstanding,Positive,Negitive,None
5871,Chailease,98,"385,804.804","1,450,394,432",89,4,1183
2484,SIWARD,98,"5,348.57455","159,421,022",59,19,1198
3227,PXI,98,"22,411.896255","142,191,726",71,13,1192
3338,TAISOL,97,"3,532.6554","87,877,141",66,17,1193
6438,SAA,97,"6,417.439","67,539,943",68,12,1196
8105,GiantPlus,97,"5,188.142","441,544,851",55,34,1187
2705,LEOFOO,97,"3,366.9748","191,312,830",67,21,1188
5388,SERCOMM,97,"16,038.0038","251,774,767",71,20,1185
3380,Alpha,97,"11,926.386","541,718,460",68,21,1187
1312,GPPC,97,"24,478.74","906,620,328",51,34,1191
1762,CCSB,95,"5,056.912","77,560,000",26,64,1186
4147,TMB,95,"16,854.1744","252,304,000",64,25,1187
2006,TUNG HO,95,"44,030.7884","730,213,818",35,55,1186
2392,FOXLINK,93,"19,775.7836","512,326,940",66,21,1189
6202,HOLTEK,93,"23,295.304","226,168,200",63,23,1190
3036,WT,93,"49,887.7548","794,391,909",56,25,1195
3081,LandMark,92,"16,309.398095","91,369,177",48,34,1193
3003,KST,92,"15,082.8726","155,654,890",46,43,1187
2841,TLDC,92,"2,587.2062","760,943,600",69,9,1198
1513,CHEM,92,"19,592.9141","476,134,310",45,41,1190
4105,TTY,91,"17,057.387187","248,649,959",52,29,1195
5306,KMC,91,"25,452","126,000,000",64,16,1196
2849,EnTie Bank,91,"25,103.5402","1,957,910,050",47,41,1188
6166,ADLINK,90,"14,615.7984","217,497,257",69,12,1195
2548,HUAKU,90,"25,189.892","276,812,726",70,14,1192
2726,Yummy Town,90,"1,263.080474","36,505,216",66,6,1203
8358,CO-TECH,90,"18,868.3236","252,588,000",50,21,1205
2478,TA-I,90,"9,190.7995","144,737,639",37,47,1192
3515,ASROCK,89,"20,931.387","120,642,429",58,20,1198
3005,Getac,88,"31,029.1193","593,291,900",75,8,1193
3686,Danen,88,"1,821.88365","113,513,643",29,52,1195
1305,CGPC,88,"21,586.0075","581,050,494",51,30,1195
1909,LCP,87,"30,664.44","1,277,685,727",49,29,1198
6589,EirGenix,87,"26,502.398573","243,690,584",50,26,1041
8150,ChipMOS,86,"33,562.126","727,240,126",48,31,1197
8473,FOREST WATER,86,"4,918.8909","144,249,158",71,11,1193
1215,CPE,86,"21,439.2","267,990,998",51,22,1203
3704,Unizyx,86,"13,993.9176","448,523,855",47,36,1193
3491,UMT,86,"7,738.753419","62,158,662",62,21,1193
4915,Primax,86,"23,253.177","451,518,324",54,25,1197
2838,UBOT,86,"38,883.5724","3,295,218,694",58,21,1197
1590,AIRTAC,86,"165,999.17","199,999,998",50,21,1205
4919,NTC,86,"52,485.376","410,042,700",49,28,1199
2867,Mercuries Life,85,"24,506.01918","2,669,501,044",41,41,1194
2206,SYM,85,"21,723.23285","803,077,604",60,15,1201
2897,O-Bank,85,"21,317.4468","2,733,006,301",66,16,1194
9917,TAIWAN SECOM,85,"45,345.2985","451,197,093",74,7,1195
4934,Tainergy,84,"8,392.5","200,000,000",44,20,1212
2425,CHAINTECH,84,"2,720.1464","101,498,831",49,29,1198
8924,O-TA,83,"14,581.2","83,800,000",57,11,1208
2406,GSC,83,"7,147.625","285,905,689",47,26,1203
3083,CHINESEGAMER,82,"3,890.601471","86,252,608",48,18,1210
3228,RDC,82,"26,845.91118","67,792,705",27,55,1194
6121,SMP,82,"55,306.185181","184,970,519",60,16,1200
3546,Userjoy,81,"3,786.755273","48,177,548",53,13,1210
9802,Fulgent Sun,81,"19,178.085","186,195,038",64,11,1201
2332,D-LINK,81,"13,365.918","599,836,473",51,23,1202
2375,KAIMEI,81,"11,791.2592","135,844,168",46,26,1204
2812,T.C.C.B.,81,"51,845.314","4,338,520,558",31,47,1198
1707,GKB,80,"22,078.332","148,137,373",43,33,1200
8028,PSI,80,"6,842.16","140,352,480",39,36,1200
9945,RUENTEX DEVELOP,80,"149,374.4597","2,106,833,397",44,32,1200
3687,OMG,80,"2,927.802313","30,059,572",37,38,1201
4971,IET,80,"2,764.150905","36,514,543",38,37,1201
2504,GBM,78,"30,326","1,180,000,000",56,12,1208
4927,Apex,78,"14,815.086","189,937,988",44,14,1218
4966,Parade,78,"144,352.4145","80,870,500",47,24,1205
6108,APCB,76,"3,437.8285","159,899,311",35,14,1227
1795,Lotus Pharm,76,"22,601.36","262,871,312",57,16,1203
5203,CyberLink,75,"7,135.2915","78,843,300",63,5,1208
8016,Sitronix,75,"32,016.244","120,136,876",50,16,1210
6670,FSP,75,"24,699.155","131,030,000",52,9,807
2915,RUENTEX IND.LTD,75,"79,673.503","734,318,772",37,37,1202
3455,UTECHZONE,74,"3,921.70625","61,468,750",49,15,1212
8074,AURONA,74,"1,657.659534","84,574,466",44,23,1209
1201,Wei Chuan,74,"11,563.5167","506,062,914",53,17,1206
1586,CFTC,74,"3,588.193677","85,818,612",58,10,1208
3529,eMemory,74,"175,001.2316","76,079,742",53,16,1207
6147,CHIPBOND,74,"43,178.942853","671,523,217",52,17,1207
3035,Faraday,73,"49,958.55","248,550,313",47,17,1212
2328,PI,73,"21,070.7649","518,346,282",44,23,1209
3661,Alchip,73,"72,563.5","70,398,943",36,26,1214
2929,TOPBI,73,"1,346.7639","109,493,838",49,18,1209
3221,TST,72,"3,272.233038","102,900,410",41,25,1210
4943,CONCRAFT,72,"8,897.52","157,200,582",36,24,1215
4976,Calin,72,"9,351.1434","138,741,000",37,26,1213
2465,LEADTEK,72,"3,483.155","53,587,301",33,34,1209
3438,AAT,71,"3,900.612901","47,165,815",27,43,1206
8271,Apacer,71,"4,419.1616","101,824,346",46,16,1214
1904,ChengLoong,71,"37,681.316","1,108,274,522",47,18,1211
6598,Applied BioCode,71,"2,663.3222","81,729,218",27,36,1005
2388,VIA,71,"30,701.9295","494,395,941",56,12,1208
2547,RADIUM,70,"9,450.987","900,094,649",45,20,1211
6504,NAN LIU,70,"8,929.8","72,600,000",43,14,1219
1589,YGG,70,"7,090.5497","110,617,519",43,13,1220
6141,PLOTECH,70,"3,197.0672","128,914,450",40,14,1222
2739,MHH,69,"2,615.2847","111,526,000",48,17,1210
2430,TKE,69,"7,041.5964","166,468,825",47,10,1219
6016,concords,69,"7,014.568835","594,454,986",29,37,1210
8021,Topoint,69,"5,907.579","142,180,467",44,21,1211
2634,AIDC,68,"26,560.6494","941,867,101",55,7,1214
6281,E-LIFE,68,"8,270.9448","99,172,945",58,5,1213
6558,SYNST,67,"2,946.474","86,661,725",39,24,1212
2009,FCC,67,"16,254.9144","359,622,165",15,51,1210
8210,CHENBRO,67,"9,088.672","120,860,950",50,13,1213
1256,Sunjuice,67,"12,572.303","33,842,160",51,13,1212
4916,PARPRO,67,"2,173.89855","83,451,568",54,7,1215
5287,ADDCN,67,"10,863.061","42,937,000",49,16,1211
8341,SF,67,"22,244.25","111,500,000",46,14,1216
2397,DFI Inc.,66,"6,388.1216","114,688,857",55,7,1214
5317,-,66,-,-,0,0,0
5522,Farglory,66,"52,523.2512","781,596,241",41,19,1216
2476,GS,66,"12,263.3784","184,968,298",43,16,1217
4123,Center Lab,65,"33,585.741676","505,048,747",49,13,1214
9933,CTCI,65,"27,825.23745","763,381,915",53,7,1216
4152,-,65,-,-,36,26,1214
2101,NK,65,"33,357.36","833,934,904",40,16,1220
6668,Zhong Yang,65,"3,844.2354","78,294,976",37,23,808
6452,-,65,-,-,0,0,0
4946,Cayenne Tech,65,419.374219,"13,660,398",37,20,1219
2331,ECS,65,"13,210.4274","557,402,968",34,27,1215
8462,Fitness Factory,64,"11,223.58","77,404,504",45,10,1221
2104,CSRC,64,"23,633.592","984,733,625",38,17,1221
3289,IST,64,"4,570.476244","84,575,121",40,18,1218
4438,QVE,64,"13,025.25","103,375,292",50,9,1216
5351,Etron,64,"16,024.002212","267,707,347",51,8,1217
6195,SCAN-D,64,"2,567.528605","48,537,813",48,8,1220
2385,CHICONY,64,"59,176.1848","745,292,749",42,18,1216
4743,ONENESS BIOTECH,64,"100,123.310742","382,437,371",38,19,1219
2467,C SUN,63,"6,901.77115","152,189,659",44,11,1221
1905,CHP,62,"24,482.937","1,102,835,316",43,16,1217
3144,ThinFlex,62,"3,834.298275","100,637,750",38,16,1222
2612,CMT,62,"11,098.6008","197,484,593",39,16,1221
3346,Laster Tech,62,"4,066.436","96,504,286",39,18,1218
2399,BIOSTAR,62,"3,606.525","178,100,000",29,30,1217
6690,ACSI,61,"1,878.46906","16,999,720",44,9,657
3163,Browave,61,"2,992.654235","75,286,899",27,28,1221
2404,UIS,61,"34,972.531","190,586,698",43,11,1222
6531,AP Memory,60,"79,990.378","148,681,246",33,18,1225
2908,Test Rite,60,"12,313.77105","509,887,558",47,4,1225
6548,CWTC,59,"37,869.6292","364,131,050",38,18,1219
4555,CHELIC,59,"3,617.568","66,992,617",38,19,1219
3706,MHC,59,"34,688.485","1,206,556,789",46,10,1220
8436,TCI,59,"26,663.081665","118,239,830",45,4,1227
4540,TBI MOTION,59,"4,525.2529","94,178,000",40,10,1225
2926,Eslite Spectrum,59,"2,890.76865","47,389,650",34,18,1224
2017,Quintain,59,"6,974.0868","341,867,462",13,41,1222
4967,TEAM,58,"4,038.5098","91,369,717",37,17,1222
2247,PGUM,58,"17,311.866","80,708,735",43,8,839
6285,WNC,58,"30,793.7725","397,339,302",41,15,1220
4725,-,58,-,-,0,0,0
3454,VIVOTEK,57,"6,426.1223","86,957,393",37,16,1223
2402,ICHIA,57,"4,982.0832","307,536,533",38,14,1224
4803,VHQ,57,708.830772,"59,069,231",43,8,1224
2105,CST,57,"110,532.2515","3,241,415,536",31,20,1225
1533,MORE,57,"5,952.2388","98,547,486",40,12,1224
8163,DARFON,57,"11,690","280,000,001",39,15,1222
2836,B.O.K,57,"13,088.745","1,163,444,458",36,19,1221
8213,TPT,56,"12,721.2498","271,242,488",31,8,1237
2489,AMTRAN,56,"14,325.7074","760,000,000",37,18,1221
2062,SSM,56,"5,629.8311","199,994,152",35,14,1227
6026,GFS,56,"4,786.034629","300,134,867",42,11,1222
9938,TAIWAN PAIHO,56,"25,744.0032","297,963,902",41,15,1220
2704,AMBH,56,"11,099.42075","366,923,343",38,15,1223
6282,AcBel,56,"17,875.0866","516,621,295",41,10,1225
4961,FITIPOWER,56,"39,734.085","186,545,312",37,15,1224
5309,SYSGRATION,56,"5,733.929879","154,553,366",33,21,1222
8916,KLF,56,"5,499.451719","131,236,831",44,9,1223
1507,YUNGTAY,56,"26,538.972","410,820,000",31,22,1223
2642,Pelican,55,"6,911.8108","95,467,000",31,22,1223
6477,Anji,55,"5,162.6084","114,217,708",38,9,1229
5471,SONIX,55,"14,403.8466","167,877,062",40,9,1227
1444,Lealea,55,"11,056.8381","957,302,942",36,12,1228
3675,Eris Tech,55,"12,040.05575","44,428,250",34,12,1230
6672,Ventec,55,"9,038.931","71,454,345",34,15,787
4739,COREMAX,55,"18,355.4735","103,029,269",39,10,1227
6523,DR.WU,54,"4,234.47675","45,047,625",28,21,1226
2520,KINDOM,54,"21,280.128","554,170,100",42,9,1225
1783,MBI,54,"3,528.822","76,999,235",18,35,1223
4736,TaiDoc,54,"16,194.595697","92,336,165",35,11,1230
2481,PAN JIT,54,"43,066.575","332,814,927",33,16,1227
6251,DYNAMIC,54,"5,827.794","277,514,032",30,6,1240
4162,PEI,53,"8,634.553876","146,596,840",39,11,1226
2347,Synnex,53,"89,735.4948","1,667,946,968",41,12,1223
2348,Hiyes,53,"10,560.9312","106,461,925",48,1,1227
2641,Franbo Lines,53,"4,527.261312","188,635,888",34,8,1234
2342,MVI,53,"7,097.2902","156,156,744",34,15,1227
4912,Lemtech-KY,53,"9,284.22","62,520,775",43,2,1231
4974,ATII,53,"4,045.505803","72,500,104",42,7,1227
2451,Transcend,53,"28,961.6175","429,061,675",32,17,1227
3218,UNIVERSAL,53,"24,207.114","76,123,000",19,28,1229
6412,Chicony Power,53,"27,332.6459","392,147,184",43,9,1224
6188,QSI,53,"10,758.571872","278,358,910",30,16,1230
5263,BROGENT,52,"7,256.555488","57,364,075",43,8,1225
3596,Arcadyan,52,"22,021.125","209,725,670",41,9,1226
2228,IRF,52,"5,319.756","75,780,281",30,13,1233
3176,MEDIGEN,52,"7,594.439023","139,257,505",31,14,1231
8255,ATC,52,"23,687.363","91,457,000",36,9,1231
1338,Hiroca,52,"4,091.392","83,840,000",37,11,1228
3530,SOI,52,"11,052.565","78,110,900",21,24,1231
8042,CHINSAN,51,"6,045.901038","129,462,549",13,38,1225
5543,Buima,51,"2,533.319728","37,199,996",38,8,1204
4994,X-LEGEND,51,"5,974.506","110,639,000",26,18,1232
